pathway,dimension,weight
fast,d2,-0.0010882504
fast,d2,-0.004724172
fast,d2,-0.0053264736
fast,d2,0.0008367729
fast,d2,0.0008541439
fast,d2,-0.030945774
fast,d2,0.00062220433
fast,d2,0.0010588388
fast,d2,-0.0010464562
fast,d2,-0.0043301787
fast,d2,0.0015757482
fast,d2,0.0008865807
fast,d2,-0.00027230073
fast,d2,0.0014112398
fast,d2,-0.0007732887
fast,d2,-0.00033272337
fast,d2,0.0009246004
fast,d2,-0.0013070193
fast,d2,0.0006264354
fast,d2,-0.00075417454
fast,d2,-0.00029788952
fast,d2,0.00011246675
fast,d2,-0.0009388201
fast,d2,0.004321628
fast,d2,0.0010412047
fast,d2,-0.0009778421
fast,d2,0.00012609857
fast,d2,0.004907118
fast,d2,-0.0012999023
fast,d2,-0.00040939252
fast,d2,-0.00036885275
fast,d2,-0.0005219284
fast,d2,-0.0003192335
fast,d2,-0.015505495
fast,d2,-0.004044808
fast,d2,0.0009241507
fast,d2,0.00037084048
fast,d2,-0.00026719196
fast,d2,0.00027631078
fast,d2,0.0019081688
fast,d2,-0.00034133074
fast,d2,-0.00555896
fast,d2,-0.0063186847
fast,d2,-0.00052070187
fast,d2,0.00023303798
fast,d2,-0.23461105
fast,d2,0.00070495124
fast,d2,0.0005839495
fast,d2,-0.0010050155
fast,d2,0.0004360419
fast,d2,-0.00038233114
fast,d2,0.00044403557
fast,d2,6.252341e-05
fast,d2,-0.00024608034
fast,d2,0.0013230646
fast,d2,0.000699481
fast,d2,-0.00023633352
fast,d2,-0.00011255941
fast,d2,0.00035976057
fast,d2,0.0002006662
fast,d2,-0.0004257074
fast,d2,-0.00021397161
fast,d2,0.00016102681
fast,d2,0.004327222
fast,d2,0.0005692417
fast,d2,-0.0008002677
fast,d2,0.00032274402
fast,d2,0.0044726892
fast,d2,-0.0017430482
fast,d2,-0.00012897921
fast,d2,0.00060052326
fast,d2,0.0009860191
fast,d2,-0.0018191842
fast,d2,-0.014101195
fast,d2,-0.0073948572
fast,d2,0.0019746157
fast,d2,-0.0009814667
fast,d2,-0.00078292965
fast,d2,0.00089947804
fast,d2,0.0019792297
fast,d2,0.00016509328
fast,d2,-0.004406967
fast,d2,-0.0069155265
fast,d2,-0.00010368042
fast,d2,-0.0003881812
fast,d2,-0.019258942
fast,d2,0.00023338302
fast,d2,0.00064350024
fast,d2,0.00047933628
fast,d2,0.00076314854
fast,d2,0.00029173918
fast,d2,5.384395e-05
fast,d2,-0.00024104369
fast,d2,0.0009862618
fast,d2,-0.00051115354
fast,d2,0.00037389665
fast,d2,0.0005829858
fast,d2,0.0007779661
fast,d2,0.001652437
fast,d2,-0.00031075886
fast,d2,-0.00014444339
fast,d2,-0.0008264549
fast,d2,-0.00055499095
fast,d2,0.005241854
fast,d2,0.0002214073
fast,d2,2.050455e-05
fast,d2,0.00034216675
fast,d2,0.0039074435
fast,d2,-0.0012170952
fast,d2,-5.0703064e-05
fast,d2,0.00029598296
fast,d2,-0.00021994393
fast,d2,-0.0004234334
fast,d2,-0.012942588
fast,d2,-0.0015793262
fast,d2,0.0005812578
fast,d2,0.00054079015
fast,d2,0.00017109094
fast,d2,-0.0005034708
fast,d2,0.0018765307
fast,d2,0.00011980324
fast,d2,-0.0049196314
fast,d2,-0.0047899866
fast,d2,0.0003653432
fast,d2,-0.00078814494
fast,d2,-0.20112033
fast,d2,-0.0009077542
fast,d2,-0.0002362993
fast,d2,-0.00089190784
fast,d2,-0.0001030952
fast,d2,-0.00012837932
fast,d2,-0.0010431518
fast,d2,1.8985767e-05
fast,d2,-0.0002994832
fast,d2,-8.459791e-05
fast,d2,-0.000519456
fast,d2,0.00024934253
fast,d2,-0.0011038785
fast,d2,0.0001900603
fast,d2,3.8798586e-05
fast,d2,0.00023370047
fast,d2,-9.437693e-05
fast,d2,7.543419e-05
fast,d2,0.003278562
fast,d2,-0.00013980421
fast,d2,-0.00089498435
fast,d2,-5.709048e-05
fast,d2,0.006499525
fast,d2,-0.0039286017
fast,d2,-0.0007300123
fast,d2,-0.0014895629
fast,d2,5.8717545e-05
fast,d2,0.0005870031
fast,d2,-0.014449761
fast,d2,-0.006201108
fast,d2,0.0008976569
fast,d2,0.0008265524
fast,d2,0.0002725551
fast,d2,6.672024e-05
fast,d2,0.0019123951
fast,d2,-0.0002853201
fast,d2,-0.00719288
fast,d2,-0.0062621427
fast,d2,-0.0011953806
fast,d2,-0.0004613024
fast,d2,-0.030074261
fast,d2,0.00017783238
fast,d2,0.0005963971
fast,d2,0.00077496294
fast,d2,-0.0007607799
fast,d2,-0.00022894668
fast,d2,7.794087e-05
fast,d2,0.0002532267
fast,d2,0.0010419831
fast,d2,0.00054695155
fast,d2,0.00044343484
